Source	Left	Key1	Right	Year	Decade	Lemma
WKB	anderen zum Verwechsen ähnlich. Anpassung	ist programmiert,	in der Sprache, in den	1990	1995	programmiert
WKB	Ost-Berlin, 22. Januar. die Konfusion	ist programmiert:.	nachdem es jahrzehntelang in	1990	1995	programmiert
WKD	oder austreten - der Fehltritt	ist programmiert.		1990	1995	programmiert
NUN90	mit von der Partie - und Rückschläge	sind vorprogrammiert,	beim "Sowjet-System". So	1990	1995	vorprogrammiert
NUN90	neue Kon troversen zwischen den Stämmen	sind programmiert.	Allerdings bleibt den Franken	1990	1995	programmiert
WKD	vielen nicht wahrgenommene untere Drittel	ist vorprogrammiert.	doch es geht weiter:. junge	1990	1995	vorprogrammiert
NUN90	Entwicklung zu erwarten. Anwohnerklagen	sind vorprogrammiert,	Auflagen der Stadt werden	1990	1995	vorprogrammiert
Z90	werden überflüssig.  Arbeitslosigkeit	ist programmiert	- und in Ansätzen schon	1990	1995	programmiert
NUN90	der Sache nicht: "Der nächste Krach	ist vorprogrammiert."	Die Tirschenreuther	1990	1995	vorprogrammiert
NUN90	in weiten Bereichen	sind vorprogrammiert.	Doch insgesamt gesehen,	1990	1995	vorprogrammiert
NUN90	fahren kann. Konflikte auf dem Gehweg	sind programmiert,	denn der Radler ist zu	1990	1995	programmiert
Z90	durchzusetzen sein. Heftige Konflikte	sind vorprogrammiert.	Ähnlich wie die anderen	1990	1995	vorprogrammiert
WKD	Lager leeren sich zusehends, und Engpässe	sind programmiert,	fürchtet Cerny. obwohl es	1990	1995	programmiert
NUN90	deren lauem Vorsitzenden Erhard Auer	sind programmiert.	Felder wird Redakteur (1924)	1990	1995	programmiert
WKB	immer mehr zum Gebirge aus, der Notstand	ist vorprogrammiert.	allein im Monat Juli mußten	1990	1995	vorprogrammiert
NUN90	Mutter befindet. Der Konflik	ist programmiert.	Die beiden jungen Menschen	1990	1995	programmiert
WKD	90/Grüne) die Rechtsstreitigkeiten	sind vorprogrammiert.	wo bleibt die	1990	1995	vorprogrammiert
Z90	Weltuntergang ist nicht nur machbar, er	ist programmiert.	Ist Rettung noch möglich?	1990	1995	programmiert
Z90	zu warm wird. Politische Katastrophen	sind programmiert:	Will man den Chinesen	1990	1995	programmiert
Z90	gegenüber.  Eine Ausbildungskatastrophe	ist programmiert,	zumal nicht sicher ist, ob	1990	1995	programmiert
NUN90	und Grünen am Ende der Stadtratsperiode	sind programmiert.	SIEGFRIED ZELNHEFER	1990	1995	programmiert
NUN90	schwäbelnden Umfeld im Osten Stuttgarts	sind vorprogrammiert,	ganz gewitzt pariert sie	1990	1995	vorprogrammiert
Z90	Bohrloch - die automatische Abschaltung	ist programmiert.	Bleibt auf dem Ölfeld als	1990	1995	programmiert
Z90	stöhnt eine Frau.  "Der permanente Streß	ist vorprogrammiert",	sagt Wolfgang Göbel,	1990	1995	vorprogrammiert
Z90	im internationalen Währungsgefüge	sind programmiert.	Vorläufig jedenfalls	1990	1995	programmiert
Z91	dem des vergangenen Jahres.  Konflikte	sind programmiert	Den Löwenanteil bilden die	1991	1995	programmiert
NUN91	Der nächste gleichartige Unfall	ist vorprogrammiert	und wird sich garantiert	1991	1995	vorprogrammiert
NUN91	Unruhen in großem Umfange	sind vorprogrammiert;	denn es ist	1991	1995	vorprogrammiert
