meta	text	left	key	right	key_phrase	key_lemma	key_word	id	ip	country
366edf41604a750d07312ab20a6edb6bb353,46.252.18.24,DE,1	                            bald soweit und die Saison beginnt . Ich < bin /|sein|  am /|an|  überlegen /|überlegen| > ob ich an mein Becker Mexiko Kassette einen                  	                            bald soweit und die Saison beginnt . Ich 	 bin /|sein|  am /|an|  überlegen /|überlegen| 	 ob ich an mein Becker Mexiko Kassette einen                  	bin am überlegen	überlegen	überlegen	366edf41604a750d07312ab20a6edb6bb353	46.252.18.24	DE
785048ec308687cfa56bda5758346cbcc26f,194.8.211.2,DE,0	                            vom anderen 30 - 50 Meter entfernt . Ich < bin /|sein|  am /|an|  linken /|linken| > Flügel mit einem Mann in einem Loch ...                      	                            vom anderen 30 - 50 Meter entfernt . Ich 	 bin /|sein|  am /|an|  linken /|linken| 	 Flügel mit einem Mann in einem Loch ...                      	bin am linken	linken	linken	785048ec308687cfa56bda5758346cbcc26f	194.8.211.2	DE
07e6f4395bb0a6e2a8f763f3e5bd76f9740e,82.165.56.216,DE,0	                           Vertreter des M 40 - Verbandes ? Der Mond < ist /|sein|  am /|am|  untergehen /|untergehen| > , doch bin ich Müde und denke an den Arbeitstag              	                           Vertreter des M 40 - Verbandes ? Der Mond 	 ist /|sein|  am /|am|  untergehen /|untergehen| 	 , doch bin ich Müde und denke an den Arbeitstag              	ist am untergehen	untergehen	untergehen	07e6f4395bb0a6e2a8f763f3e5bd76f9740e	82.165.56.216	DE
a591601b8640248e3baf2e9b3bf671a1b988,85.13.128.194,DE,0	                             Heute war dann Premiere , die Container < waren /|sein|  am /|am|  überquellen /|überquellen| > . Ich hoffe mal , dass der Mist , der neben                  	                             Heute war dann Premiere , die Container 	 waren /|sein|  am /|am|  überquellen /|überquellen| 	 . Ich hoffe mal , dass der Mist , der neben                  	waren am überquellen	überquellen	überquellen	a591601b8640248e3baf2e9b3bf671a1b988	85.13.128.194	DE
4a0b32ca8b60905c00a6641ff954b22888e1,212.48.103.4,DE,0	                         Geschäftsführer und der geborene Chef . Ich < bin /|sein|  am /|an|  überlegen /|überlegen| > ob ich mich scheiden lassen soll . Grund                     	                         Geschäftsführer und der geborene Chef . Ich 	 bin /|sein|  am /|an|  überlegen /|überlegen| 	 ob ich mich scheiden lassen soll . Grund                     	bin am überlegen	überlegen	überlegen	4a0b32ca8b60905c00a6641ff954b22888e1	212.48.103.4	DE
2dbd9664238684e3b3f30450f4c3b8f9bf40,80.237.133.38,DE,1	                         drauf . Vorne 15 mm x 2 , hinten auch . nix < ist /|sein|  am /|am|  schleifen /|schleifen| > oder steht über . Und morgen früh habe                       	                         drauf . Vorne 15 mm x 2 , hinten auch . nix 	 ist /|sein|  am /|am|  schleifen /|schleifen| 	 oder steht über . Und morgen früh habe                       	ist am schleifen	schleifen	schleifen	2dbd9664238684e3b3f30450f4c3b8f9bf40	80.237.133.38	DE
285bc88a0b8c1628e71772dbaf24eb8bb0e2,88.198.104.121,DE,0	                    erschreckt eher das Haare föhnen . :shok: :D Ich < bin /|sein|  am /|am|  posten /|posten| > und lesen ... Peace . 28.09.2010 , 16:26                     	                    erschreckt eher das Haare föhnen . :shok: :D Ich 	 bin /|sein|  am /|am|  posten /|posten| 	 und lesen ... Peace . 28.09.2010 , 16:26                     	bin am posten	posten	posten	285bc88a0b8c1628e71772dbaf24eb8bb0e2	88.198.104.121	DE
933b5aca2c4aff025099c21286350ace6356,87.106.6.3,DE,1	                             ist ? :fg: : DHeute ist Muttertag , ich < war /|sein|  am /|am|  kochen /|kochen| > ... :grummel: Und noch : sieht düster aus                    	                             ist ? :fg: : DHeute ist Muttertag , ich 	 war /|sein|  am /|am|  kochen /|kochen| 	 ... :grummel: Und noch : sieht düster aus                    	war am kochen	kochen	kochen	933b5aca2c4aff025099c21286350ace6356	87.106.6.3	DE
fec5c116e6a4ea3e372e8687cd25d91ed16d,213.202.243.130,DE,0	                          für welche Di ... , kann mir jemand helfen < bin /|sein|  am /|an|  überlegen /|überlegen| > ob ich Linux installieren soll oder bei                      	                          für welche Di ... , kann mir jemand helfen 	 bin /|sein|  am /|an|  überlegen /|überlegen| 	 ob ich Linux installieren soll oder bei                      	bin am überlegen	überlegen	überlegen	fec5c116e6a4ea3e372e8687cd25d91ed16d	213.202.243.130	DE
b14ce4f84a3104a0d4e78ffa5b2959b85a97,85.237.86.22,DE,0	                      Wade-Freak , hab die ersten 3 Schuhe schon und < bin /|sein|  am /|an|  überlegen /|überlegen| > ob ich den 3 er nun auch kaufen soll ?                       	                      Wade-Freak , hab die ersten 3 Schuhe schon und 	 bin /|sein|  am /|an|  überlegen /|überlegen| 	 ob ich den 3 er nun auch kaufen soll ?                       	bin am überlegen	überlegen	überlegen	b14ce4f84a3104a0d4e78ffa5b2959b85a97	85.237.86.22	DE
535ec1cbf214d02684b1c970b56164c819eb,176.9.45.173,DE,1	                           Bild links Die umstrukturierte Prom ) Ich < war /|sein|  am /|an|  überlegen /|überlegen| > sie Century zu nennen aber ich glaub der                     	                           Bild links Die umstrukturierte Prom ) Ich 	 war /|sein|  am /|an|  überlegen /|überlegen| 	 sie Century zu nennen aber ich glaub der                     	war am überlegen	überlegen	überlegen	535ec1cbf214d02684b1c970b56164c819eb	176.9.45.173	DE
535ec1cbf214d02684b1c970b56164c819eb,176.9.45.173,DE,1	                           überzeugender aus . 24.02.2009 , 12:37 ch < war /|sein|  am /|an|  überlegen /|überlegen| > sie Century zu nennen aber ich glaub der                     	                           überzeugender aus . 24.02.2009 , 12:37 ch 	 war /|sein|  am /|an|  überlegen /|überlegen| 	 sie Century zu nennen aber ich glaub der                     	war am überlegen	überlegen	überlegen	535ec1cbf214d02684b1c970b56164c819eb	176.9.45.173	DE
5628a73a7a0c2444336f1ed8950635d12bba,178.77.85.198,DE,1	                           wieder daheim . wohl fühlt er sich hier . < ist /|sein|  am /|am|  schnurren /|schnurren| > , fressen , schmusen , und verhält sich                      	                           wieder daheim . wohl fühlt er sich hier . 	 ist /|sein|  am /|am|  schnurren /|schnurren| 	 , fressen , schmusen , und verhält sich                      	ist am schnurren	schnurren	schnurren	5628a73a7a0c2444336f1ed8950635d12bba	178.77.85.198	DE
