meta	text	left	key_phrase	right	key_phrase	key_lemma	key_word	id	ip	country	random	cleft
d1edb9b8a38c91d596598b1b6c81d47892ad,188.40.80.244,DE,0	                                     sie zu kaufen / abonnieren . big beat land < ist /|sein|  ja /|ja|  seit /|seit|  einiger /|einige|  zeit /|zeit|  schwer /|schwer|  am /|an|  abbauen /|abbauen| > . und vor kurzem habe ich entdeckt , das                               	                                     sie zu kaufen / abonnieren . big beat land 	ist ja seit einiger zeit schwer am abbauen	 . und vor kurzem habe ich entdeckt , das                               	ist ja seit einiger zeit schwer am abbauen	abbauen	abbauen	d1edb9b8a38c91d596598b1b6c81d47892ad	188.40.80.244	DE	4	
b66428da5a6a9263c585a66e0791e66d41ac,217.6.251.42,DE,0	                                      an , wie die 40-jährige Zoé Engel . " Wir < waren /|sein|  gerade /|gerade|  unseren /|unser|  Stand /|Stand|  vom /|von|  Weltbürgerfrühstück /|(unknown)|  am /|an|  abbauen /|abbauen| > , als die jungen Menschen zu tanzen begannen                           	                                      an , wie die 40-jährige Zoé Engel . " Wir 	waren gerade unseren Stand vom Weltbürgerfrühstück am abbauen	 , als die jungen Menschen zu tanzen begannen                           	waren gerade unseren Stand vom Weltbürgerfrühstück am abbauen	abbauen	abbauen	b66428da5a6a9263c585a66e0791e66d41ac	217.6.251.42	DE	975	obj
6a26a146dca89666aa90042196e51a10028a,212.45.111.68,DE,0	                                wirklich gut . Technische Service 1 - A ! HEUTE < sind /|sein|  die /|die|  nur /|nur|  noch /|noch|  am /|an|  abbauen /|abbauen| > ! Bei Technischen Störungen merkt man richtig                          	                                wirklich gut . Technische Service 1 - A ! HEUTE 	sind die nur noch am abbauen	 ! Bei Technischen Störungen merkt man richtig                          	sind die nur noch am abbauen	abbauen	abbauen	6a26a146dca89666aa90042196e51a10028a	212.45.111.68	DE	1162	
0a1a1da2e4d32d394ae8d464c77d196ec75b,91.203.111.14,DE,0	                                       was würdet Ihr mir empfehlen . Den Wagen < sind /|sein|  wir /|wir|  schon /|schon|  dran /|dran|  am /|an|  abdichten /|abdichten| > . Schublade für die Anlage wird auch schon                             	                                       was würdet Ihr mir empfehlen . Den Wagen 	sind wir schon dran am abdichten	 . Schublade für die Anlage wird auch schon                             	sind wir schon dran am abdichten	abdichten	abdichten	0a1a1da2e4d32d394ae8d464c77d196ec75b	91.203.111.14	DE	857	special
23d46a4273dcf87345ad3410b7a6da614f27,89.110.133.11,DE,0	                            sie heute überhaupt nehme . naja ... ich < bin /|sein|  am /|am|  abdrehen /|abdrehen| > aber sonst ist alles gut . noiseblank 1108                   	                            sie heute überhaupt nehme . naja ... ich 	bin am abdrehen	 aber sonst ist alles gut . noiseblank 1108                   	bin am abdrehen	abdrehen	abdrehen	23d46a4273dcf87345ad3410b7a6da614f27	89.110.133.11	DE	478	
87a9b68d033ae1850cf9652e3eb29aaf3ab0,82.165.125.11,DE,0	                            . heut nacht dachte ich mein rechter arm < ist /|sein|  am /|an|  abfallen /|abfallen| > . nachwirkungen von der physiotherapie                       	                            . heut nacht dachte ich mein rechter arm 	ist am abfallen	 . nachwirkungen von der physiotherapie                       	ist am abfallen	abfallen	abfallen	87a9b68d033ae1850cf9652e3eb29aaf3ab0	82.165.125.11	DE	630	
0e3b2a7a61876783b033e56ff7f4171302b4,212.53.128.207,DE,1	                             Forum > Hardware > Netzwerk > Hilfe ich < bin /|sein|  am /|am|  abfaulen /|abfaulen| > ! PDA Archiv verlassen und diese Seite                       	                             Forum > Hardware > Netzwerk > Hilfe ich 	bin am abfaulen	 ! PDA Archiv verlassen und diese Seite                       	bin am abfaulen	abfaulen	abfaulen	0e3b2a7a61876783b033e56ff7f4171302b4	212.53.128.207	DE	1707	
6bf40aa9e5cc1bc05b586d908cb3accbf70f,85.13.141.5,DE,1	                                    interessiert das niemanden mehr . Das Thema < war /|sein|  ja /|ja|  schon /|schon|  am /|an|  abflauen /|abflauen| > , wäre letzte Woche nicht der Polizeieinsatz                           	                                    interessiert das niemanden mehr . Das Thema 	war ja schon am abflauen	 , wäre letzte Woche nicht der Polizeieinsatz                           	war ja schon am abflauen	abflauen	abflauen	6bf40aa9e5cc1bc05b586d908cb3accbf70f	85.13.141.5	DE	275	
5f75f19676dfdcfd290579b75e25001f9fd2,87.106.241.179,DE,1	                                      ich wirklich Glück hatte , denn irgendwie < war /|sein|  der /|die|  Süd /|Süd|  am /|an|  abflauen /|abflauen| > und danach ging garnix mehr . 's näxte                                 	                                      ich wirklich Glück hatte , denn irgendwie 	war der Süd am abflauen	 und danach ging garnix mehr . 's näxte                                 	war der Süd am abflauen	abflauen	abflauen	5f75f19676dfdcfd290579b75e25001f9fd2	87.106.241.179	DE	867	
298fa29198d6b83c4237339dc08b83a40f53,81.3.16.10,DE,1	                                      wird es auch weiter Bergauf gehen . Dabei < sind /|sein|  Pads /|(unknown)|  doch /|doch|  eigentlich /|eigentlich|  schon /|schon|  wieder /|wieder|  am /|an|  abflauen /|abflauen| > ... Das denke ich nicht . Ich kann nur                                 	                                      wird es auch weiter Bergauf gehen . Dabei 	sind Pads doch eigentlich schon wieder am abflauen	 ... Das denke ich nicht . Ich kann nur                                 	sind Pads doch eigentlich schon wieder am abflauen	abflauen	abflauen	298fa29198d6b83c4237339dc08b83a40f53	81.3.16.10	DE	1225	
